id,x,y,name,type,floor
N001,2376.0,786.0,ห้องบรรยายเคมี 1 2309,room,3
N002,2460.0,1149.0,GC,room,3
N003,2363.0,1149.0,IR,room,3
N004,2273.0,1149.0,DSC,room,3
N005,1998.0,677.0,ห้องปฏิบัติการเคมีอินทรีย์/พอลิเมอร์ 2308,room,3
N006,1998.0,836.0,ห้องเตรียมปฏิบัติการ 2 2307,room,3
N007,2001.0,999.0,ห้องปฏิบัติการเคมีเชิงฟิสิกส์ 2306,room,3
N008,1910.0,1252.0,ห้องน้ำหญิง,room,3
N009,1748.0,924.0,ห้องเครื่องมือกลาง 2305,room,3
N010,1726.0,699.0,ห้อง AAS,room,3
N011,1726.0,608.0,ห้องเก็บสารเคมี,room,3
N012,1835.0,652.0,ห้องเครื่องกรองน้ำ,room,3
N013,1582.0,1249.0,ห้องน้ำชาย,room,3
N014,1497.0,999.0,ห้องปฏิบัติเคมีวิเคราะห์ 2304,room,3
N015,1491.0,836.0,ห้องเตรียมปฏิบัติการ 1 2303,room,3
N016,1497.0,661.0,ห้องปฏิบัติการหลักเคมี 2302,room,3
N017,1438.0,1261.0,ลิฟท์ชั้น 3,elevator,3
N018,1213.0,1043.0,ห้องสำนักงาน 2301,room,3
N019,1157.0,1161.0,ห้องสัมนา 2310,room,3
N020,1141.0,1414.0,ห้องบรรยายเคมี 2 2311,room,3
N021,1441.0,1399.0,ห้องบรรยายเคมี 3 2312,room,3
N022,1591.0,1452.0,ห้องพักอาจารย์ 2315,room,3
N023,1566.0,1668.0,ห้องชมรมเคมี 2314,room,3
N024,1404.0,1661.0,ห้อง 2313,room,3
N025,1072.0,1752.0,ห้องควบคุมเครื่องเสียง,room,3
N026,1322.0,680.0,บันไดซ้าย,stair,3
N027,2185.0,611.0,บันไดขวา,stair,3
N028,2063.0,1249.0,บันไดกลาง,stair,3
N029,2235.0,802.0,Door N029,door,3
N030,2235.0,868.0,Door N030,door,3
N031,2135.0,911.0,Door N031,door,3
N032,2135.0,805.0,Door N032,door,3
N033,2135.0,727.0,Door N033,door,3
N034,1835.0,1111.0,Door N034,door,3
N035,2310.0,1180.0,Door N035,door,3
N036,2404.0,1183.0,Door N036,door,3
N037,2426.0,1183.0,Door N037,door,3
N038,2013.0,1208.0,Door N038,door,3
N039,1982.0,1211.0,Door N039,door,3
N040,1523.0,1211.0,Door N040,door,3
N041,1835.0,743.0,Door N041,door,3
N042,1860.0,793.0,Door N042,door,3
N043,1813.0,661.0,Door N043,door,3
N044,1810.0,636.0,Door N044,door,3
N045,1635.0,796.0,Door N045,door,3
N046,1623.0,780.0,Door N046,door,3
N047,1623.0,893.0,Door N047,door,3
N048,1366.0,911.0,Door N048,door,3
N049,1369.0,802.0,Door N049,door,3
N050,1322.0,1211.0,Door N050,door,3
N051,1272.0,1321.0,Door N051,door,3
N052,1272.0,1511.0,Door N052,door,3
N053,1363.0,1530.0,Door N053,door,3
N054,1432.0,1568.0,Door N054,door,3
N055,1463.0,1561.0,Door N055,door,3
N056,1544.0,1502.0,Door N056,door,3
N057,1541.0,1480.0,Door N057,door,3
N058,1548.0,1371.0,Door N058,door,3
N059,1541.0,1349.0,Door N059,door,3
N060,1460.0,1486.0,Door N060,door,3
N061,1276.0,1061.0,Door N061,door,3
N062,1119.0,1111.0,Door N062,door,3
N063,1435.0,1218.0,Door N063,door,3
